Unnamed: 0,Hospital,Doctor,Specilization,Experience
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Chamundeswari T,Consultant - Ophthalmology,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Chandra Mouli R. V,Consultant - Radiologist,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Deepika Ponnuru V A,Consultant - Rheumatologist,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. G V Reddy,Consultant- Orthopaedics,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Girish Bathina,Consultant - General Medicine,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Gutta Lokesh,Consultant - Interventional Pulmonologist,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Hari Prasad N,Consultant - Urology & Renal Transplant Surgeon,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Harika Uppalapati,Consultant - General Physician,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. K. Noah,Consultant - Emergency Physician,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. K. Sasikanth Reddy,Associate Consultant - Radiology,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Kiran Kumar Mannava,Consultant - Orthopaedics,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Lakshmi Navya Cheekatla,Associate consultant - Cardiology,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Lakshmi Prasuna,Consultant - Obstetrics and Gynecology,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. M. Prashanth,Consultant - Plastic and Cosmetic surgery,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Madhu Bindu Pidikiti,Consultant - Gynaecology & Obstetrics,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Mikkilineni Anupama,"Consultant - Pathologist, Laboratory Medicine",
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Misbah Lateefa,Associate Consultant - Pathologist,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Murali Chekuri,Senior Consultant - Department of Neuro-Sciences,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Murali Krishna N,Chief Cardiologist,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. N. Sandeep,Consultant - Cardiology,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Nallamothu Jagadeesh,"Senior Consultant - Orthopedician, Joint replacement and Trauma Surgeon",
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. P Ravi Kumar,"Senior Consultant - Pediatrician, Neonatologist",
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. P Sireesha,Consultant - Laboratory Medicine,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Pavan N,Associate Consultant - Cardiologist,
